Image,Caption
horse.jpg,a brown and white horse standing in a field
bikini.jpg,a bikini top and a starfish on the beach
apple_tree.jpg,apples hanging from a tree in an orchard
starfish.jpg,starfish on the beach
footprint.jpg,footprints in the sand at the beach
pocket.jpg,the back pocket of a pair of jeans
bison.jpg,a herd of bison grazing in a field
pitchfork.jpg,a close up of a deer ' s ant
bench.jpg,a wooden bench sitting in front of a stone wall
dagger.jpg,two knives laying on the ground in the grass
chip.jpg,an image of a computer processor on a concrete surface
goblet.jpg,a glass vase sitting on top of a table
slot.jpg,an old wooden door with peeling paint on it
gravel.jpg,a pile of gravel
scarf.jpg,a colorful scarf hanging on a brick wall
straw1.jpg,a pile of hay is shown in this image
peacock.jpg,a peacock with its feathers spread out
branch.jpg,a large tree with green leaves and purple flowers
scarecrow.jpg,a woman with a broom in a garden
trough.jpg,a large rock in the background
boulder.jpg,a large rock sitting in the middle of a park
net.jpg,a close up of a pile of croches
football.jpg,a football on the grass
punch2.jpg,a pair of pliers on a black surface
carousel.jpg,a merry merry merry merry merry merry merry merry merry...
rope.jpg,a rope on a wooden surface
bush.jpg,a small bush of green plants in front of a...
granite.jpg,a close up view of a granite surface
mulch.jpg,a close up of a pile of wood chips
